"","Binomial","Wild","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel"
"150","Geomys_bursarius","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Thomomys_talpoides","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Dipodomys_ordii","Wild",60.4,"Omnivores",50.4,2,29.69,117.6,49.6,29.91082,9.9,"Omnivore"
"153","Perognathus_fasciatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Perognathus_parvus","Wild",21.78,"Omnivores",21.56,2,23.5,48,20.1,24,5.8,"Omnivore"
"155","Callospermophilus_lateralis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Callospermophilus_saturatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Cynomys_ludovicianus","Wild",1364,"Herbivores",797.05,1,33.46,102,1125,35.41506,18,"Herbivore"
"158","Glaucomys_sabrinus","Wild",166,"Herbivores",137.53,2,40,156,148,40,14.2,"Omnivore"
"159","Glaucomys_volans","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Ictidomys_tridecemlineatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Marmota_caligata","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Marmota_flaviventris","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Marmota_monax","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Marmota_vancouverensis","Wild",6299.99,"Herbivores",5232.43,1,31.65,NA,4750,30,12.1,"Herbivore"
"165","Neotamias_amoenus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Neotamias_minimus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Neotamias_ruficaudus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Neotamias_townsendii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Poliocitellus_franklinii","Wild",363,"Omnivores",457.64,NA,28,NA,459,28,7.2,"Omnivore"
"170","Sciurus_carolinensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Sciurus_niger","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Tamias_striatus","Wild",111.91,"Omnivores",NA,NA,NA,NA,92.6,31.25,9.5,"Omnivore"
"173","Tamiasciurus_douglasii","Wild",225,"Omnivores",225,2,38.98,NA,229.8,38.825,5.491666667,"Herbivore"
"174","Tamiasciurus_hudsonicus","Wild",201.17,"Omnivores",200.24,2,34.25,144,210.8,37,12,"Herbivore"
"175","Urocitellus_columbianus","Wild",493,"Omnivores",470.94,1,24.09,NA,468.635,24.2,4.241666667,"Herbivore"
"176","Urocitellus_parryii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Urocitellus_richardsonii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Blarina_brevicauda","Wild",28,"Omnivores",18.56,2,20.58,33,20.7,20.08776,2.75,"Carnivore"
"179","Sorex_arcticus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Sorex_bendirii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Sorex_cinereus","Wild",4.66,"Carnivores",4.2,3,18.11,23,5.1,18.11,2.5,"Carnivore"
"182","Sorex_dispar","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Sorex_fumeus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Sorex_haydeni","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Sorex_hoyi","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Sorex_maritimensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Sorex_merriami","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Sorex_minutissimus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Sorex_monticolus","Wild",5.25,"Carnivores",6.92,2,NA,16,5.99,20.26106,2.083333333,"Carnivore"
"190","Sorex_navigator","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Sorex_palustris","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Sorex_preblei","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Sorex_rohweri","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Sorex_trowbridgii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Sorex_tundrensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Sorex_ugyunak","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Sorex_vagrans","Wild",5.9,"Carnivores",5.99,2,20.13,25,5.58,20.26106,2.083333333,"Carnivore"
"198","Condylura_cristata","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Neurotrichus_gibbsii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Parascalops_breweri","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Scalopus_aquaticus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Scapanus_orarius","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Scapanus_townsendii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
