"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"130","1ee8b962-d27e-4da6-9137-1b8bed363062","Cyanocitta_stelleri",14.21874135,374,"omnivore",120,0.0116504854368932,16.1,16.09166667,2
"131","7dba683d-3d71-49c1-aaa1-90fc3e289e3e","Corvus_brachyrhynchos",35.21660781,1210,"omnivore",453,0.0439805825242718,20,14.6,2
"132","04b9e51b-29c7-40a1-a370-4afa9013e532","Contopus_virens",30.91516786,408,"invertebrates",13.95,0.00135436893203883,8.2,7.1,3
"133","a7bcf011-e051-405e-8985-70ec58b66b61","Contopus_sordidulus",33.44738242,696,"invertebrates",12.85,0.00124757281553398,8.1,7,3
"134","add9b321-cd70-4cb7-ace5-9130fc86b2b9","Contopus_cooperi",37.84019385,1009,"invertebrates",32.76666667,0.00318122977378641,11.08333333,7.1,3
"135","17f75cab-5b8f-471c-8620-0eae42ae729f","Coccyzus_americanus",42.99572377,846,"invertebrates",61,0.00592233009708738,5,5,3
"136",NA,"Coccothraustes_vespertinus",34.20789469,501,"omnivore",59.5,0.00577669902912621,17,15.3,2
"137","c96ec7c3-dac2-4868-96fe-f7e36094893e","Cistothorus_platensis",13.35736469,782,"invertebrates",8.55,0.000830097087378641,NA,NA,3
"138","42de3faf-1b3e-4827-bed7-60c695ea599c","Cistothorus_palustris",19.98367135,656,"invertebrates",11.25,0.00109223300970874,NA,NA,3
"139","b361dfda-9a18-4fd2-bdff-0bd700efe1dd","Charadrius_vociferus",52.61916019,1463,"invertebrates",94.275,0.00915291262135922,10.91666667,10.9,3
"140","bd5d8422-862f-480c-8fd5-7395bbd8ca06","Certhia_americana",24.09652218,786,"invertebrates",9,0.00087378640776699,8.166666667,4.6,3
"141","7441a57d-f6c3-45ca-bccc-807bd27069f5","Catharus_ustulatus",31.65355361,855,"invertebrates",30.06666667,0.00291909385145631,12.08333333,11,3
"142","e5c4d03c-6895-4ed6-9943-b1bcd6574d18","Catharus_guttatus",26.51338971,952,"invertebrates",30.55,0.00296601941747573,10.83333333,8.7,3
"143","85b3aafe-b7c2-4740-b3d4-0d29c2d867a9","Catharus_fuscescens",27.74377649,1600,"invertebrates",31.925,0.0030995145631068,10.1,10.1,3
"144","b46d70ee-be79-42a3-a301-c8f5f7ce2b56","Cathartes_aura",26.89008054,2566,"scav",1776,0.172427184466019,20.8,16.83333333,3
"145","d7ed168f-d7f5-4dac-b0f9-e6a5b7de287b","Cardinalis_cardinalis",15.27537134,613,"omnivore",43.05,0.00417961165048544,28.5,15.8,2
"146","c848955e-29fc-4125-affe-fa4f144b0bb5","Calcarius_ornatus",26.71589125,217,"seeds",20.125,0.00195388349514563,4,4,1
"147",NA,"Butorides_virescens",32.00583037,5076,"vertebrates",198,0.0192233009708738,7.916666667,7.908333333,3
"148","ad3187b6-7eee-49d6-80a2-6600b3f1c4f7","Buteo_swainsoni",46.64549342,1177,"vertebrates",969.57,0.0941330097087379,24.08333333,16,3
"149","f931bcc8-e204-4b97-88a9-e912db379f08","Buteo_platypterus",36.87124199,518,"vertebrates",437,0.0424271844660194,18.33333333,16.32,3
"150","95afc244-d33b-4fcc-a643-0fe7651c75ab","Buteo_lineatus",33.42846176,416,"vertebrates",616,0.0598058252427184,22.41666667,20,3
"151","6f6ce94a-981d-43b4-a6b9-82239e12587a","Buteo_jamaicensis",34.08031115,1507,"vertebrates",1126,0.109320388349515,30.66666667,25.5,3
"152","806082ce-803a-46a1-bd62-8df9175659e7","Bonasa_umbellus",38.30210753,852,"plants",532,0.0516504854368932,11,8.5,1
"153","48b56abb-ecbb-486b-9a1a-5771228605df","Bombycilla_cedrorum",35.59548638,816,"fruit",32.04816667,0.00311147249223301,12.66666667,7.6,1
"154","caeda227-60c4-4734-917b-5e4de5912691","Bartramia_longicauda",52.82185426,1866,"invertebrates",152.25,0.0147815533980583,8.916666667,7.05,3
"155","f08b1334-fd0f-419c-8620-863e2cfcd39c","Asio_flammeus",47.4820753,3912,"vertebrates",343.75,0.033373786407767,21.8,12.9,3
"156","b6a24f66-2cfa-419f-9d44-c2a4e40d5231","Archilochus_colubris",65.01476926,713,"nectar",3.1425,0.000305097087378641,9.1,9,1
"157","d0b793d2-c187-4f28-a210-74c5f46e2e09","Anthus_spragueii",26.36121198,234,"invertebrates",25.4,0.00246601941747573,NA,NA,3
"158","5eea3683-ad8b-41ea-ba3d-fafae83803e5","Aix_sponsa",49.40426036,756,"seeds",657.5,0.0638349514563107,22.5,22.5,1
"159","92c99708-f279-4b1b-8cd4-133a5c1deadc","Agelaius_phoeniceus",23.98514879,1421,"seeds",54,0.00524271844660194,20,15.8,1
