"","binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y"
"247","Pternistis_hartlaubi",18.49956459,"fruit",NA,NA,NA
"248","Pternistis_adspersus",19.25504131,"omnivore",NA,NA,NA
"249","Pternistis_capensis",21.58729259,"omnivore",NA,NA,NA
"250","Pternistis_natalensis",17.93058298,"plants",NA,NA,NA
"251","Pternistis_leucoscepus",22.80968729,"plants",NA,NA,NA
"252","Pternistis_rufopictus",19.08727748,"plants",NA,NA,NA
"253","Pternistis_afer",19.47890086,"plants",NA,NA,NA
"254","Pternistis_swainsonii",21.45412198,"omnivore",NA,NA,NA
"255","Perdix_perdix",32.95413664,"omnivore",405.5,6.916666667,5.17
"256","Perdix_dauurica",34.81418399,"omnivore",270,NA,NA
"257","Perdix_hodgsoniae",29.0633249,"omnivore",372,NA,NA
"258","Rhizothera_longirostris",24.04237547,"omnivore",800,NA,NA
"259","Rhizothera_dulitensis",21.81640115,NA,800,NA,NA
"260","Margaroperdix_madagascariensis",27.56569996,"omnivore",NA,NA,NA
"261","Melanoperdix_niger",26.59685113,"omnivore",280,NA,NA
"262","Coturnix_coturnix",43.69274304,"seeds",98.75,14.58333333,11
"263","Coturnix_japonica",39.35244499,"plants",96.6,14.58333333,6.791666667
"264","Coturnix_coromandelica",36.20608937,"seeds",74.5,NA,NA
"265","Coturnix_delegorguei",37.62458206,"seeds",79,NA,NA
"266","Coturnix_pectoralis",45.56966726,"seeds",100.975,NA,NA
"267","Coturnix_ypsilophora",33.52867367,"seeds",107.5,NA,NA
"268","Excalfactoria_chinensis",22.16356946,"omnivore",41,NA,NA
"269","Excalfactoria_adansonii",27.51547425,NA,NA,NA,NA
"270","Anurophasis_monorthonyx",20.40816327,"plants",401,NA,NA
"271","Perdicula_asiatica",17.60857444,"seeds",74.75,NA,NA
"272","Perdicula_argoondah",22.17081959,"seeds",69.5,NA,NA
"273","Perdicula_erythrorhyncha",16.64100366,"seeds",77.5,NA,NA
"274","Perdicula_manipurensis",10.2598704,"seeds",71,NA,NA
"275","Xenoperdix_udzungwensis",25.73585165,"invertebrates",230,NA,NA
"276","Arborophila_torqueola",25.19798408,"omnivore",350.5,NA,NA
"277","Arborophila_rufogularis",25.44046852,"omnivore",323.5,8.5,8.5
"278","Arborophila_atrogularis",27.46968627,"omnivore",256,NA,NA
"279","Arborophila_crudigularis",27.11864504,"omnivore",311,NA,NA
"280","Arborophila_mandellii",21.97785681,"omnivore",268,NA,NA
"281","Arborophila_brunneopectus",26.75857407,"omnivore",268,NA,NA
"282","Arborophila_rufipectus",19.0647482,"fruit",440,NA,NA
"283","Arborophila_gingica",28.05796939,"omnivore",253,NA,NA
"284","Arborophila_davidi",26.37096774,"omnivore",241,NA,NA
"285","Arborophila_cambodiana",25.8367714,"omnivore",318,NA,NA
"286","Arborophila_diversa",20.07142857,NA,NA,NA,NA
"287","Arborophila_campbelli",25.04518793,"omnivore",305,NA,NA
"288","Arborophila_rolli",22.56892498,"omnivore",336,NA,NA
"289","Arborophila_sumatrana",17.87234043,"omnivore",336,NA,NA
"290","Arborophila_orientalis",23.20145705,"omnivore",336,NA,NA
"291","Arborophila_javanica",25.41773367,"omnivore",271.5,NA,NA
"292","Arborophila_rubrirostris",27.16025826,"omnivore",243,NA,NA
"293","Arborophila_hyperythra",22.47322853,"omnivore",270,NA,NA
"294","Arborophila_ardens",26.19674709,"omnivore",300,NA,NA
"295","Arborophila_charltonii",25.56448324,"omnivore",270,NA,NA
"296","Arborophila_chloropus",31.77951661,"omnivore",270,NA,NA
"297","Caloperdix_oculeus",25.35774662,"omnivore",190.5,NA,NA
