"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"222","Pica_hudsonia",21.68592065,"omnivore",213.375,21.7,10.49166667,"other"
"223","Melanerpes_lewis",31.37686478,"invertebrates",113,NA,NA,"forest"
"224","Icteria_virens",21.27653453,"invertebrates",25.3,8.916666667,8.9,"other"
"225","Empidonax_traillii",23.53870386,"invertebrates",13.25,11,7,"forest"
"226","Empidonax_difficilis",21.7872374,"invertebrates",10.85,6.916666667,6,"forest"
"227","Empidonax_alnorum",20.31942093,"invertebrates",13.2,9.083333333,7.2,"forest"
"228","Aquila_chrysaetos",36.97446098,"vertebrates",4383,48,32,"grasslands"
"229","Accipiter_striatus",32.52265538,"vertebrates",138.5,19.9,12.58333333,"forest"
"230","Accipiter_gentilis",36.49091967,"vertebrates",988.75,22,17.70833333,"forest"
"231","Accipiter_cooperii",32.25656531,"vertebrates",452,20.33333333,12,"forest"
"232","Vireo_solitarius",29.7474022,"invertebrates",15.55833333,7.417,7.416666667,"forest"
"233","Vermivora_chrysoptera",25.85828895,"invertebrates",8.9,7.916666667,7.9,"forest"
"234","Tyrannus_tyrannus",33.9370985,"invertebrates",40.125,11.1,9.916666667,"forest"
"235","Turdus_migratorius",30.81546118,"omnivore",78.78333333,17,13.91666667,"other"
"236","Toxostoma_rufum",13.8886348,"invertebrates",68.65,12.834,12.8,"other"
"237","Strix_varia",29.56429857,"vertebrates",716.5,24,18.2,"forest"
"238","Spizella_passerina",24.23119088,"omnivore",12.3,11.8,9.8,"other"
"239","Setophaga_ruticilla",24.02643017,"invertebrates",8.35,10.1,10,"forest"
"240","Scolopax_minor",30.63128154,"invertebrates",196.25,20.9,10.31666667,"shore"
"241","Sayornis_phoebe",20.64178422,"invertebrates",19.7,10.33333333,9.1,"other"
"242","Regulus_satrapa",23.55921577,"invertebrates",6.103333333,6.333333333,5.316666667,"forest"
"243","Pipilo_erythrophthalmus",13.55637346,"omnivore",40.3,12.3,11.81666667,"other"
"244","Picoides_arcticus",25.14941756,"invertebrates",72,4.916666667,4.916666667,"forest"
"245","Perisoreus_canadensis",18.75920105,"omnivore",71.1,19.2,17.16666667,"forest"
"246","Poecile_hudsonicus",18.42676783,"invertebrates",9.8,7,5.016666667,"forest"
"247","Myiarchus_crinitus",21.38870094,"invertebrates",33.275,14.91666667,13.9,"forest"
"248","Mniotilta_varia",25.50560546,"invertebrates",10.9,12.25,11.3,"forest"
"249","Icterus_galbula",27.35522638,"invertebrates",33.9,14,11.6,"other"
"250","Petrochelidon_pyrrhonota",47.58715872,"invertebrates",22.4,11.83333333,11,"lakes/ponds"
"251","Falco_sparverius",43.67634239,"omnivore",115.5,17,14,"grasslands"
"252","Empidonax_oberholseri",18.70949329,"invertebrates",10.4,9,8.2,"forest"
"253","Empidonax_hammondii",23.14488742,"invertebrates",10.39166667,7,7,"forest"
"254","Dumetella_carolinensis",18.65310132,"invertebrates",35.35,17.91666667,10.91666667,"other"
"255","Dendragapus_obscurus",39.4410669,"plants",1059,14,12.5,"forest"
"256","Cypseloides_niger",72.9649251,"invertebrates",42.45,16.1,6,"grasslands"
"257","Cyanocitta_cristata",16.85516594,"omnivore",85.25,26.2,18.3,"other"
"258","Corvus_corax",33.33172662,"omnivore",1097,69,21.8335,"other"
"259","Patagioenas_fasciata",36.2347931,"seeds",352.5,29.2,18.5,"forest"
"260","Coccyzus_erythropthalmus",40.74626732,"invertebrates",49.57333333,5,5,"forest"
"261","Chordeiles_minor",60.73625829,"invertebrates",79.3,10,9,"grasslands"
"262","Chaetura_pelagica",70.32475678,"invertebrates",23.5,15,14,"other"
"263","Catharus_minimus",30.39605546,"invertebrates",31.6,7.34,7.316666667,"forest"
"264","Buteo_regalis",41.30660274,"vertebrates",1469.5,23.7,20,"grasslands"
"265","Bubo_virginianus",30.36604314,"vertebrates",1377.25,29,21.3,"forest"
"266","Ammodramus_savannarum",21.07267329,"invertebrates",17.9,9.083333333,5.1,"grasslands"
"267","Phalaenoptilus_nuttallii",42.78489327,"invertebrates",48.925,3,3,"other"
"268","Larus_californicus",58.42176773,"omnivore",670.25,30,28,"wetlands"
"269","Phalacrocorax_auritus",40.73005708,"vertebrates",1876.5,22.5,17.8,"oceans"
"270","Larus_marinus",52.20025778,"omnivore",1658.5,29.16666667,25.74983333,"oceans"
"271","Podiceps_nigricollis",44.02058499,"invertebrates",380,13.08333333,10.29166667,"wetlands"
"272","Pelecanus_erythrorhynchos",44.89820355,"vertebrates",6129.5,54,31.5,"wetlands"
"273","Oxyura_jamaicensis",41.85244697,"invertebrates",550,13.6,13.6,"wetlands"
"274","Nycticorax_nycticorax",33.03518541,"vertebrates",800,21.1,21.08333333,"wetlands"
"275","Mergus_merganser",44.13189757,"vertebrates",1462.5,14.83333333,13.8,"lakes/ponds"
"276","Haliaeetus_leucocephalus",41.38358163,"vertebrates",4740,48,32.96666667,"forest"
"277","Fulica_americana",39.66697707,"omnivore",620.5,22.33333333,22.3,"wetlands"
"278","Chlidonias_niger",62.14386646,"invertebrates",63,21,17.2,"wetlands"
"279","Megaceryle_alcyon",33.59666673,"vertebrates",152.1666667,NA,NA,"wetlands"
"280","Bucephala_clangula",52.23046928,"invertebrates",895.93,18.41666667,16.91666667,"lakes/ponds"
"281","Bucephala_albeola",47.40970969,"invertebrates",400,18.7,14.9,"lakes/ponds"
"282","Botaurus_lentiginosus",32.02261928,"vertebrates",706,8.333333333,8.3,"wetlands"
"283","Ardea_herodias",36.60308177,"vertebrates",2388.666667,24.5,23.3,"wetlands"
"284","Clangula_hyemalis",50.79857306,"invertebrates",814,22.7,15.6,"lakes/ponds"
"285","Plegadis_chihi",38.62146521,"invertebrates",583.75,20.4,14.5,"wetlands"
"286","Somateria_mollissima",45.48272147,"invertebrates",2092,37.8,23,"oceans"
"287","Phalaropus_lobatus",49.33540425,"invertebrates",35,9.917,7.45,"shore"
"288","Melanitta_fusca",49.772257,NA,NA,NA,NA,"other"
"289","Histrionicus_histrionicus",50.04163378,"invertebrates",655.625,14.6,14.58333333,"other"
"290","Colinus_virginianus",27.66923741,"seeds",173.3333333,6.416666667,6.4,"grasslands"
"291","Aeronautes_saxatalis",69.84621727,"invertebrates",31.95,10,7.85,"other"
"292","Coturnicops_noveboracensis",25.97179324,"invertebrates",60.9,NA,NA,"wetlands"
"293","Sterna_paradisaea",69.62170424,"vertebrates",110,34,34,"wetlands+oceans"
"294","Sterna_forsteri",68.68518507,"vertebrates",150,15.83333333,12,"wetlands"
"295","Aythya_marila",45.89309774,"invertebrates",959,22.1,19.375,"lakes/ponds"
"296","Bucephala_islandica",47.20667639,"invertebrates",978.575,18,15.33333333,"lakes/ponds"
"297","Xema_sabini",59.3717418,"omnivore",195,8.083333333,8.083333333,"wetlands+oceans"
"298","Pagophila_eburnea",60.9802263,"omnivore",550,23.91666667,17,"oceans"
"299","Stercorarius_pomarinus",59.84260172,"vertebrates",694,NA,NA,"wetlands+oceans"
"300","Stercorarius_parasiticus",59.22794234,"vertebrates",450,31.1,24.58333333,"wetlands+oceans"
"301","Baeolophus_bicolor",15.59651598,"invertebrates",21.6,13.3,13.275,"forest"
"302","Stercorarius_longicaudus",63.77772644,"vertebrates",298,22,11,"wetlands+oceans"
"303","Branta_bernicla",52.19509015,"plants",1347.25,28.83333333,23.8,"wetlands"
"304","Lagopus_muta",46.14753282,"plants",521,6.083333333,6.083333333,"other"
"305","Megascops_kennicottii",27.10951458,"omnivore",180,19,13.5,"forest"
"306","Megascops_asio",28.73133586,"invertebrates",NA,NA,NA,"forest"
"307","Himantopus_mexicanus",52.21125443,"invertebrates",161,12.16666667,10.225,NA
